city,crop,crop_variety,Modal_Price (Rs./Quintal)
Pune,हरभरा,jaki 9218,3536
Pune,बाजरी,MLSH-296 GOLD,7082
Pune,तूर,bdl 716,7215
Pune,बाजरी,MLSH 2428,3594
Pune,हरभरा,vijay,4540
Pune,सोयाबीन,maus 162,7548
Pune,हरभरा,vijay,4634
Pune,ज्वारी,Foxtail millet,4356
Pune,तूर,bdl 711,6372
Pune,सोयाबीन,maus 71,7307
Pune,हरभरा,j11,4208
Pune,हरभरा,j11,5492
Pune,ज्वारी,Foxtail millet,2431
Pune,बाजरी,MLSH 2428,6953
Pune,तूर,bdl 711,3036
Pune,तूर,bdl 711,7958
Pune,तूर,bdl 711,4948
Pune,तूर,bdl 711,5103
Pune,गहू,शरबती,4822
Pune,तूर,bdl 711,7098
Pune,सोयाबीन,js335,5982
Pune,बाजरी,MLSH-296 GOLD,2066
Pune,हरभरा,vijay,6202
Pune,ज्वारी,Foxtail millet,7004
Pune,तूर,godavari,3248
Pune,ज्वारी,Foxtail millet,2914
Pune,बाजरी,MLSH-296 GOLD,5449
Pune,गहू,HI-8759,5586
Pune,तूर,bdl 716,6670
Pune,तूर,bdl 716,5591
Pune,गहू,शरबती,5558
Pune,हरभरा,jaki 9218,3859
Pune,तूर,bdl 711,2660
Pune,गहू,शरबती,7108
Pune,सोयाबीन,js335,3130
Pune,गहू,जीडब्ल्यू 12,2984
Pune,सोयाबीन,js335,3069
Pune,तूर,bdl 716,5539
Pune,सोयाबीन,js335,3729
Pune,सोयाबीन,maus 162,7598
Pune,बाजरी,MLSH-296 GOLD,3101
Pune,ज्वारी,Foxtail millet,2030
Pune,सोयाबीन,js335,3928
Pune,गहू,HI-8759,7523
Pune,तूर,bdl 711,3188
Pune,हरभरा,digvijay,5269
Pune,सोयाबीन,maus 162,2273
Pune,बाजरी,MLSH 2428,3578
Pune,बाजरी,MLSH-296 GOLD,5030
Pune,हरभरा,digvijay,2851
Pune,सोयाबीन,maus 162,2391
Pune,तूर,bdl 716,2731
Pune,सोयाबीन,maus 162,6984
Pune,हरभरा,digvijay,7645
Pune,गहू,जीडब्ल्यू 12,6157
Pune,सोयाबीन,maus 71,2273
Pune,तूर,godavari,5157
Pune,ज्वारी,Foxtail millet,6386
Pune,बाजरी,MLSH-296 GOLD,6752
Pune,ज्वारी,Foxtail millet,6828
Pune,तूर,bdl 716,2150
Pune,गहू,जीडब्ल्यू 12,4375
Pune,गहू,HI-8759,3580
Pune,गहू,HI-8759,3524
Pune,गहू,जीडब्ल्यू 12,3921
Pune,तूर,bdl 711,3893
Pune,बाजरी,MLSH 2428,4788
Pune,सोयाबीन,js335,5643
Pune,सोयाबीन,maus 162,4234
Pune,सोयाबीन,js335,4968
Pune,गहू,HI-8759,3979
Pune,तूर,bdl 711,3315
Pune,ज्वारी,Foxtail millet,3149
Pune,बाजरी,MLSH 2428,6190
Pune,तूर,godavari,5610
Pune,सोयाबीन,maus 71,2055
Pune,ज्वारी,Foxtail millet,6739
Pune,ज्वारी,Foxtail millet,4119
Pune,हरभरा,digvijay,3275
Pune,गहू,HI-8759,3711
Pune,गहू,जीडब्ल्यू 12,2108
Pune,तूर,bdl 711,4597
Pune,बाजरी,MLSH-296 GOLD,5549
Pune,सोयाबीन,maus 162,7611
Pune,तूर,bdl 711,5909
Pune,तूर,bdl 716,2498
Pune,तूर,bdl 716,4438
Pune,हरभरा,j11,7507
Pune,हरभरा,vijay,4183
Pune,हरभरा,vijay,6312
Pune,ज्वारी,Foxtail millet,2567
Pune,बाजरी,MLSH-296 GOLD,7430
Pune,हरभरा,vijay,4210
Pune,तूर,bdl 716,4552
Pune,ज्वारी,Foxtail millet,4769
Pune,गहू,जीडब्ल्यू 12,4919
Pune,बाजरी,MLSH-296 GOLD,5284
Pune,ज्वारी,Foxtail millet,5740
Pune,बाजरी,MLSH-296 GOLD,6925
Pune,गहू,HI-8759,7241
Pune,तूर,bdl 716,5315
Pune,बाजरी,MLSH 2428,3570
Pune,ज्वारी,Foxtail millet,4484
Pune,तूर,bdl 711,4022
Pune,ज्वारी,Foxtail millet,6919
Pune,सोयाबीन,js335,2431
Pune,ज्वारी,Foxtail millet,6614
Pune,गहू,HI-8759,5251
Pune,तूर,godavari,7432
Pune,सोयाबीन,maus 162,3481
Pune,तूर,bdl 716,2958
Pune,सोयाबीन,maus 162,7626
Pune,तूर,godavari,7289
Pune,गहू,शरबती,4344
Pune,बाजरी,MLSH 2428,7539
Pune,सोयाबीन,js335,5769
Pune,गहू,जीडब्ल्यू 12,4781
Pune,बाजरी,MLSH-296 GOLD,5057
Pune,गहू,जीडब्ल्यू 12,7374
Pune,तूर,bdl 711,6982
Pune,गहू,शरबती,7655
Pune,ज्वारी,Foxtail millet,5403
Pune,तूर,bdl 711,6980
Pune,तूर,godavari,6067
Pune,तूर,bdl 711,2473
Pune,गहू,शरबती,3668
Pune,गहू,HI-8759,7928
Pune,सोयाबीन,maus 162,2822
Pune,तूर,godavari,6993
Pune,तूर,bdl 711,7753
Pune,बाजरी,MLSH 2428,2063
Pune,सोयाबीन,maus 71,2606
Pune,गहू,शरबती,3177
Pune,ज्वारी,Foxtail millet,6972
Pune,तूर,bdl 716,2517
Pune,ज्वारी,Foxtail millet,4236
Pune,तूर,bdl 711,4718
Pune,तूर,bdl 711,7307
Pune,तूर,bdl 711,7639
Pune,ज्वारी,Foxtail millet,3011
Pune,ज्वारी,Foxtail millet,7579
Pune,बाजरी,MLSH-296 GOLD,5840
Pune,सोयाबीन,maus 162,2696
Pune,बाजरी,MLSH 2428,7745
Pune,गहू,शरबती,3145
Pune,बाजरी,MLSH 2428,3154
Pune,बाजरी,MLSH-296 GOLD,4349
Pune,बाजरी,MLSH-296 GOLD,2914
Pune,बाजरी,MLSH 2428,4802
Pune,तूर,godavari,3039
Pune,तूर,bdl 711,3481
Pune,सोयाबीन,js335,3003
Pune,सोयाबीन,maus 71,5404
Pune,बाजरी,MLSH 2428,6960
Pune,बाजरी,MLSH-296 GOLD,6170
Pune,सोयाबीन,maus 162,5546
Pune,गहू,HI-8759,5110
Pune,हरभरा,jaki 9218,6249
Pune,गहू,शरबती,4789
Pune,गहू,शरबती,6924
Pune,ज्वारी,Foxtail millet,3635
Pune,तूर,bdl 716,6357
Pune,सोयाबीन,maus 162,6672
Pune,गहू,जीडब्ल्यू 12,3244
Pune,सोयाबीन,js335,4081
Pune,तूर,bdl 711,6995
Pune,गहू,शरबती,5274
Pune,तूर,bdl 711,5479
Pune,बाजरी,MLSH 2428,6246
Pune,गहू,शरबती,7391
Pune,गहू,जीडब्ल्यू 12,2438
Pune,सोयाबीन,js335,4468
Pune,बाजरी,MLSH-296 GOLD,5236
Pune,हरभरा,vijay,4756
Pune,तूर,bdl 711,7406
Pune,बाजरी,MLSH 2428,4283
Pune,तूर,bdl 716,2518
Pune,ज्वारी,Foxtail millet,6260
Pune,हरभरा,jaki 9218,6474
Pune,तूर,bdl 711,4282
Pune,गहू,शरबती,3857
Pune,हरभरा,vijay,2516
Pune,ज्वारी,Foxtail millet,2772
Pune,सोयाबीन,maus 71,4375
Pune,बाजरी,MLSH 2428,2053
Pune,सोयाबीन,js335,2558
Pune,ज्वारी,Foxtail millet,7274
Pune,सोयाबीन,js335,2616
Pune,ज्वारी,Foxtail millet,6309
Pune,सोयाबीन,maus 162,3656
Pune,ज्वारी,Foxtail millet,2113
Pune,बाजरी,MLSH-296 GOLD,5473
Pune,ज्वारी,Foxtail millet,5347
Pune,सोयाबीन,maus 71,7826
Pune,हरभरा,digvijay,2852
Pune,बाजरी,MLSH 2428,6711
Pune,तूर,bdl 711,3038
Pune,गहू,शरबती,4153
Pune,बाजरी,MLSH-296 GOLD,3141
Pune,गहू,HI-8759,7140
Pune,हरभरा,digvijay,2151
Pune,बाजरी,MLSH-296 GOLD,5944
Pune,तूर,bdl 716,4111
Pune,गहू,HI-8759,2472
Pune,तूर,bdl 716,5185
Pune,ज्वारी,Foxtail millet,2585
Pune,ज्वारी,Foxtail millet,2504
Pune,बाजरी,MLSH 2428,4108
Pune,सोयाबीन,maus 162,5150
Pune,गहू,HI-8759,2636
Pune,तूर,bdl 711,7453
Pune,बाजरी,MLSH 2428,4543
Pune,हरभरा,jaki 9218,6303
Pune,गहू,जीडब्ल्यू 12,7193
Pune,बाजरी,MLSH-296 GOLD,7416
Pune,गहू,जीडब्ल्यू 12,4457
Pune,सोयाबीन,maus 162,7619
Pune,गहू,जीडब्ल्यू 12,7368
Pune,गहू,HI-8759,2701
Pune,तूर,bdl 716,6037
Pune,गहू,शरबती,6762
Pune,हरभरा,jaki 9218,5489
Pune,ज्वारी,Foxtail millet,6142
Pune,सोयाबीन,maus 162,5770
Pune,बाजरी,MLSH 2428,7851
Pune,गहू,शरबती,3439
Pune,हरभरा,j11,3745
Pune,गहू,HI-8759,3009
Pune,गहू,शरबती,3889
Pune,ज्वारी,Foxtail millet,6992
Pune,हरभरा,j11,4466
Pune,ज्वारी,Foxtail millet,5545
Pune,सोयाबीन,js335,5773
Pune,सोयाबीन,maus 71,6010
Pune,हरभरा,vijay,3725
Pune,गहू,HI-8759,3113
Pune,बाजरी,MLSH 2428,7679
Pune,हरभरा,jaki 9218,5655
Pune,हरभरा,jaki 9218,5258
Pune,सोयाबीन,maus 162,6286
Pune,सोयाबीन,js335,7493
Pune,बाजरी,MLSH 2428,5906
Pune,गहू,शरबती,4101
Pune,ज्वारी,Foxtail millet,2407
Pune,बाजरी,MLSH-296 GOLD,7963
Pune,हरभरा,j11,7571
Pune,तूर,bdl 711,4752
Pune,बाजरी,MLSH-296 GOLD,4898
Pune,ज्वारी,Foxtail millet,3151
Pune,तूर,bdl 716,5943
Pune,सोयाबीन,js335,3821
Pune,गहू,HI-8759,6582
Pune,ज्वारी,Foxtail millet,6299
Pune,तूर,godavari,3234
Pune,तूर,bdl 711,2715
Pune,गहू,HI-8759,3802
Pune,हरभरा,vijay,3705
Pune,हरभरा,digvijay,3782
Pune,तूर,bdl 711,2684
Pune,तूर,bdl 711,6199
Pune,हरभरा,vijay,5306
Pune,सोयाबीन,maus 162,5122
Pune,गहू,शरबती,2676
Pune,तूर,bdl 711,7377
Pune,तूर,bdl 716,3855
Pune,तूर,bdl 711,4676
Pune,हरभरा,j11,3859
Pune,हरभरा,vijay,2406
Pune,बाजरी,MLSH 2428,3432
Pune,हरभरा,vijay,6470
Pune,हरभरा,vijay,5616
Pune,गहू,HI-8759,4442
Pune,बाजरी,MLSH 2428,6328
Pune,गहू,जीडब्ल्यू 12,5348
Pune,बाजरी,MLSH 2428,4364
Pune,हरभरा,j11,6140
Pune,ज्वारी,Foxtail millet,4320
Pune,हरभरा,jaki 9218,5088
Pune,गहू,जीडब्ल्यू 12,4366
Pune,हरभरा,digvijay,5888
Pune,ज्वारी,Foxtail millet,7772
Pune,बाजरी,MLSH-296 GOLD,3535
Pune,हरभरा,jaki 9218,6646
Pune,सोयाबीन,js335,5774
Pune,बाजरी,MLSH-296 GOLD,3172
Pune,ज्वारी,Foxtail millet,7815
Pune,ज्वारी,Foxtail millet,2605
Pune,गहू,HI-8759,3218
Pune,बाजरी,MLSH-296 GOLD,7147
Pune,सोयाबीन,maus 71,7232
Pune,सोयाबीन,maus 162,3384
Pune,गहू,HI-8759,3602
Pune,तूर,godavari,3615
Pune,ज्वारी,Foxtail millet,3275
Pune,हरभरा,j11,3082
Pune,सोयाबीन,maus 162,5669
Pune,हरभरा,digvijay,7957
Pune,ज्वारी,Foxtail millet,6558
Pune,गहू,शरबती,4545
Pune,तूर,godavari,4813
Pune,बाजरी,MLSH-296 GOLD,3661
Pune,तूर,bdl 716,4320
Pune,बाजरी,MLSH 2428,3438
Pune,ज्वारी,Foxtail millet,2772
Pune,गहू,शरबती,4627
Pune,सोयाबीन,maus 162,5676
Pune,सोयाबीन,js335,2775
Pune,गहू,शरबती,6703
Pune,सोयाबीन,maus 162,6727
Pune,सोयाबीन,maus 71,6128
Pune,बाजरी,MLSH 2428,7525
Pune,बाजरी,MLSH 2428,7082
Pune,गहू,जीडब्ल्यू 12,2652
Pune,सोयाबीन,js335,6230
Pune,बाजरी,MLSH 2428,3892
Pune,ज्वारी,Foxtail millet,5689
Pune,तूर,bdl 711,2525
Pune,बाजरी,MLSH 2428,6539
Pune,सोयाबीन,js335,2394
Pune,सोयाबीन,js335,6989
Pune,ज्वारी,Foxtail millet,3590
Pune,बाजरी,MLSH 2428,2230
Pune,हरभरा,j11,7983
Pune,तूर,godavari,7963
Pune,सोयाबीन,maus 162,3144
Pune,ज्वारी,Foxtail millet,2252
Pune,बाजरी,MLSH 2428,6170
Pune,ज्वारी,Foxtail millet,7479
Pune,बाजरी,MLSH-296 GOLD,7683
Pune,बाजरी,MLSH-296 GOLD,7229
Pune,सोयाबीन,js335,2002
Pune,सोयाबीन,maus 162,6198
Pune,तूर,bdl 716,6047
Pune,हरभरा,digvijay,5738
Pune,गहू,शरबती,5892
Pune,तूर,bdl 711,3175
Pune,गहू,शरबती,7356
Pune,हरभरा,vijay,5336
Pune,ज्वारी,Foxtail millet,4012
Pune,तूर,godavari,6411
Pune,तूर,bdl 711,7496
Pune,सोयाबीन,maus 71,2730
Pune,तूर,godavari,2370
Pune,बाजरी,MLSH 2428,6835
Pune,गहू,शरबती,5001
Pune,गहू,HI-8759,5448
Pune,हरभरा,j11,5216
Pune,ज्वारी,Foxtail millet,2517
Pune,सोयाबीन,maus 162,6052
Pune,तूर,bdl 711,4420
Pune,बाजरी,MLSH 2428,2297
Pune,गहू,शरबती,3064
Pune,ज्वारी,Foxtail millet,3083
Pune,ज्वारी,Foxtail millet,5895
Pune,ज्वारी,Foxtail millet,7161
Pune,गहू,शरबती,3733
Pune,बाजरी,MLSH 2428,7994
Pune,हरभरा,j11,7807
Pune,तूर,bdl 711,6232
Pune,बाजरी,MLSH 2428,5502
Pune,गहू,जीडब्ल्यू 12,7705
Pune,ज्वारी,Foxtail millet,3496
Pune,बाजरी,MLSH 2428,7571
Pune,हरभरा,j11,7388
Pune,ज्वारी,Foxtail millet,7752
Pune,गहू,शरबती,2191
Pune,बाजरी,MLSH 2428,2137
Pune,ज्वारी,Foxtail millet,3413
Pune,ज्वारी,Foxtail millet,6875
Pune,तूर,godavari,5933
Pune,गहू,HI-8759,3483
Pune,बाजरी,MLSH 2428,2428
Pune,बाजरी,MLSH-296 GOLD,3383
Pune,बाजरी,MLSH 2428,6847
Pune,बाजरी,MLSH-296 GOLD,2504
Pune,गहू,HI-8759,4063
Pune,गहू,HI-8759,6695
Pune,ज्वारी,Foxtail millet,3489
Pune,गहू,जीडब्ल्यू 12,2185
Pune,गहू,HI-8759,3685
Pune,गहू,जीडब्ल्यू 12,2668
Pune,बाजरी,MLSH-296 GOLD,7742
Pune,हरभरा,jaki 9218,2083
Pune,सोयाबीन,js335,3383
Pune,बाजरी,MLSH-296 GOLD,3762
Pune,ज्वारी,Foxtail millet,7782
Pune,बाजरी,MLSH 2428,3909
Pune,ज्वारी,Foxtail millet,4261
Pune,तूर,bdl 711,6479
Pune,सोयाबीन,maus 71,5722
Pune,ज्वारी,Foxtail millet,2009
Pune,ज्वारी,Foxtail millet,2793
Pune,बाजरी,MLSH 2428,3691
Pune,तूर,bdl 711,5359
Pune,ज्वारी,Foxtail millet,4023
Pune,बाजरी,MLSH 2428,7538
Pune,गहू,HI-8759,2924
Pune,सोयाबीन,js335,3358
Pune,तूर,bdl 716,3871
Pune,हरभरा,jaki 9218,6188
Pune,ज्वारी,Foxtail millet,2475
Pune,गहू,HI-8759,3494
Pune,सोयाबीन,maus 162,4402
Pune,सोयाबीन,js335,7402
Pune,बाजरी,MLSH-296 GOLD,3535
Pune,हरभरा,jaki 9218,2220
Pune,बाजरी,MLSH 2428,6708
Pune,तूर,bdl 711,7384
Pune,बाजरी,MLSH 2428,3864
Pune,बाजरी,MLSH-296 GOLD,6656
Pune,हरभरा,digvijay,3599
Pune,ज्वारी,Foxtail millet,4561
Pune,तूर,bdl 711,4209
Pune,गहू,शरबती,2131
Pune,बाजरी,MLSH 2428,2868
Pune,ज्वारी,Foxtail millet,3671
Pune,सोयाबीन,maus 162,4231
Pune,हरभरा,jaki 9218,5995
Pune,सोयाबीन,js335,4084
Pune,तूर,bdl 711,6627
Pune,हरभरा,vijay,5478
Pune,बाजरी,MLSH 2428,6939
Pune,तूर,bdl 711,6870
Pune,हरभरा,digvijay,6243
Pune,सोयाबीन,maus 162,4234
Pune,तूर,godavari,2709
Pune,ज्वारी,Foxtail millet,3343
Pune,तूर,bdl 716,5582
Pune,सोयाबीन,maus 162,4889
Pune,सोयाबीन,js335,5955
Pune,सोयाबीन,maus 71,4658
Pune,बाजरी,MLSH-296 GOLD,5971
Pune,गहू,शरबती,7149
Pune,हरभरा,digvijay,2718
Pune,हरभरा,digvijay,7998
Pune,गहू,जीडब्ल्यू 12,7714
Pune,बाजरी,MLSH 2428,4095
Pune,हरभरा,digvijay,3418
Pune,सोयाबीन,maus 162,5277
Pune,बाजरी,MLSH 2428,2397
Pune,हरभरा,vijay,4735
Pune,सोयाबीन,js335,5995
Pune,ज्वारी,Foxtail millet,4178
Pune,ज्वारी,Foxtail millet,4221
Pune,ज्वारी,Foxtail millet,6098
Pune,बाजरी,MLSH-296 GOLD,6479
Pune,तूर,bdl 716,2319
Pune,सोयाबीन,maus 71,7122
Pune,बाजरी,MLSH-296 GOLD,6008
Pune,सोयाबीन,maus 162,6011
Pune,बाजरी,MLSH-296 GOLD,6399
Pune,तूर,bdl 716,3818
Pune,तूर,bdl 716,4223
Pune,बाजरी,MLSH-296 GOLD,4155
Pune,गहू,शरबती,3035
Pune,तूर,bdl 716,5801
Pune,तूर,bdl 711,2842
Pune,गहू,शरबती,5350
Pune,तूर,bdl 716,6788
Pune,सोयाबीन,maus 162,2083
Pune,बाजरी,MLSH 2428,4385
Pune,गहू,HI-8759,7441
Pune,सोयाबीन,maus 162,6776
Pune,बाजरी,MLSH 2428,6407
Pune,सोयाबीन,maus 71,4282
Pune,गहू,HI-8759,7480
Pune,सोयाबीन,js335,3698
Pune,तूर,bdl 716,6337
Pune,बाजरी,MLSH 2428,3210
Pune,हरभरा,digvijay,7744
Pune,हरभरा,jaki 9218,7498
Pune,सोयाबीन,maus 71,2657
Pune,हरभरा,j11,7089
Pune,बाजरी,MLSH-296 GOLD,3563
Pune,ज्वारी,Foxtail millet,2630
Pune,बाजरी,MLSH 2428,7446
Pune,ज्वारी,Foxtail millet,2675
Pune,हरभरा,vijay,7068
Pune,गहू,HI-8759,2398
Pune,तूर,godavari,5215
Pune,सोयाबीन,maus 162,5298
Pune,ज्वारी,Foxtail millet,4488
Pune,तूर,godavari,7204
Pune,गहू,जीडब्ल्यू 12,4645
Pune,बाजरी,MLSH-296 GOLD,5691
Pune,गहू,शरबती,7588
Pune,गहू,शरबती,6495
Pune,हरभरा,vijay,6451
Pune,तूर,bdl 711,2906
Pune,बाजरी,MLSH 2428,6558
Pune,बाजरी,MLSH-296 GOLD,2165
Pune,ज्वारी,Foxtail millet,2750
Pune,तूर,godavari,6032
Pune,तूर,godavari,6047
Pune,बाजरी,MLSH 2428,4815
