city,crop,crop_variety,Modal_Price (Rs./Quintal)
pune,बाजरी,MLSH-296 GOLD,7482
pune,सोयाबीन,maus 162,2049
pune,गहू,HI-8759,2393
pune,तूर,godavari,4911
pune,बाजरी,MLSH 2428,6598
pune,सोयाबीन,maus 71,2833
pune,बाजरी,MLSH-296 GOLD,6082
pune,बाजरी,MLSH 2428,5730
pune,ज्वारी,Foxtail millet,3300
pune,हरभरा,j11,7862
pune,ज्वारी,Foxtail millet,3300
pune,तूर,bdl 716,2284
pune,हरभरा,jaki 9218,2850
pune,सोयाबीन,maus 162,2520
pune,बाजरी,MLSH 2428,7929
pune,हरभरा,vijay,7786
pune,सोयाबीन,maus 71,6028
pune,सोयाबीन,js335,5213
pune,गहू,शरबती,7967
pune,तूर,bdl 716,7067
pune,ज्वारी,Foxtail millet,6537
pune,ज्वारी,Foxtail millet,6473
pune,गहू,HI-8759,2833
pune,तूर,bdl 711,3485
pune,ज्वारी,Foxtail millet,3811
pune,गहू,जीडब्ल्यू 12,2926
pune,सोयाबीन,js335,5713
pune,तूर,bdl 711,7279
pune,गहू,HI-8759,4938
pune,हरभरा,j11,5748
pune,तूर,bdl 711,6607
pune,ज्वारी,Foxtail millet,7514
pune,गहू,HI-8759,6975
pune,हरभरा,j11,6782
pune,गहू,HI-8759,5230
pune,गहू,HI-8759,5954
pune,सोयाबीन,js335,7017
pune,तूर,godavari,5101
pune,ज्वारी,Foxtail millet,7109
pune,हरभरा,j11,5342
pune,बाजरी,MLSH 2428,4948
pune,ज्वारी,Foxtail millet,6517
pune,तूर,bdl 711,6584
pune,ज्वारी,Foxtail millet,7182
pune,हरभरा,digvijay,4858
pune,हरभरा,jaki 9218,2066
pune,हरभरा,digvijay,5717
pune,ज्वारी,Foxtail millet,4388
pune,बाजरी,MLSH 2428,4244
pune,तूर,bdl 711,5652
pune,ज्वारी,Foxtail millet,4190
pune,ज्वारी,Foxtail millet,6973
pune,हरभरा,vijay,5338
pune,हरभरा,vijay,3023
pune,बाजरी,MLSH 2428,3653
pune,ज्वारी,Foxtail millet,3389
pune,हरभरा,vijay,5915
pune,बाजरी,MLSH-296 GOLD,3889
pune,बाजरी,MLSH-296 GOLD,3903
pune,गहू,शरबती,4451
pune,ज्वारी,Foxtail millet,5315
pune,गहू,HI-8759,3351
pune,तूर,godavari,4277
pune,हरभरा,vijay,2447
pune,ज्वारी,Foxtail millet,5081
pune,गहू,जीडब्ल्यू 12,2489
pune,तूर,bdl 711,4943
pune,बाजरी,MLSH-296 GOLD,2823
pune,हरभरा,jaki 9218,3475
pune,ज्वारी,Foxtail millet,4571
pune,ज्वारी,Foxtail millet,7762
pune,गहू,शरबती,6492
pune,ज्वारी,Foxtail millet,7273
pune,गहू,HI-8759,5021
pune,सोयाबीन,js335,6243
pune,तूर,godavari,6208
pune,तूर,godavari,3087
pune,सोयाबीन,maus 162,3195
pune,गहू,HI-8759,4692
pune,बाजरी,MLSH-296 GOLD,2421
pune,सोयाबीन,maus 71,6498
pune,तूर,bdl 711,2185
pune,तूर,bdl 716,3784
pune,हरभरा,vijay,3614
pune,हरभरा,vijay,5595
pune,तूर,godavari,5157
pune,सोयाबीन,maus 71,6467
pune,गहू,HI-8759,5034
pune,सोयाबीन,maus 162,2228
pune,गहू,शरबती,2830
pune,हरभरा,j11,3210
pune,बाजरी,MLSH 2428,2798
pune,गहू,HI-8759,7043
pune,ज्वारी,Foxtail millet,7452
pune,हरभरा,vijay,4542
pune,सोयाबीन,js335,5299
pune,ज्वारी,Foxtail millet,7596
pune,बाजरी,MLSH 2428,5373
pune,गहू,शरबती,2322
pune,बाजरी,MLSH 2428,7099
pune,गहू,जीडब्ल्यू 12,2869
pune,बाजरी,MLSH 2428,4022
pune,बाजरी,MLSH-296 GOLD,2250
pune,हरभरा,jaki 9218,6908
pune,बाजरी,MLSH 2428,4847
pune,ज्वारी,Foxtail millet,3211
pune,तूर,bdl 716,3553
pune,बाजरी,MLSH 2428,4704
pune,ज्वारी,Foxtail millet,5222
pune,गहू,जीडब्ल्यू 12,4873
pune,तूर,bdl 711,6930
pune,गहू,शरबती,4668
pune,गहू,HI-8759,3263
pune,तूर,godavari,7024
pune,बाजरी,MLSH 2428,3217
pune,ज्वारी,Foxtail millet,3627
pune,तूर,bdl 711,4378
pune,बाजरी,MLSH 2428,6552
pune,गहू,HI-8759,2080
pune,ज्वारी,Foxtail millet,7109
pune,गहू,जीडब्ल्यू 12,6552
pune,ज्वारी,Foxtail millet,3909
pune,बाजरी,MLSH 2428,2099
pune,हरभरा,jaki 9218,7833
pune,ज्वारी,Foxtail millet,6993
pune,तूर,bdl 711,4515
pune,गहू,शरबती,2657
pune,तूर,bdl 711,7246
pune,ज्वारी,Foxtail millet,6516
pune,ज्वारी,Foxtail millet,3481
pune,ज्वारी,Foxtail millet,4279
pune,गहू,जीडब्ल्यू 12,2700
pune,बाजरी,MLSH 2428,2270
pune,सोयाबीन,maus 71,4255
pune,हरभरा,vijay,5000
pune,सोयाबीन,maus 162,5591
pune,हरभरा,j11,2108
pune,सोयाबीन,js335,5010
pune,हरभरा,j11,4538
pune,हरभरा,jaki 9218,3428
pune,बाजरी,MLSH 2428,6356
pune,हरभरा,j11,2209
pune,सोयाबीन,js335,6669
pune,बाजरी,MLSH-296 GOLD,4058
pune,ज्वारी,Foxtail millet,6051
pune,ज्वारी,Foxtail millet,2692
pune,हरभरा,vijay,4924
pune,हरभरा,vijay,3661
pune,हरभरा,j11,3286
pune,सोयाबीन,maus 162,2519
pune,सोयाबीन,maus 71,4669
pune,तूर,bdl 711,3222
pune,गहू,HI-8759,2683
pune,ज्वारी,Foxtail millet,3713
pune,गहू,HI-8759,6447
pune,सोयाबीन,js335,6883
pune,बाजरी,MLSH-296 GOLD,2071
pune,गहू,HI-8759,4956
pune,हरभरा,vijay,4001
pune,सोयाबीन,maus 71,3420
pune,सोयाबीन,maus 71,5878
pune,ज्वारी,Foxtail millet,6457
pune,बाजरी,MLSH 2428,5445
pune,बाजरी,MLSH 2428,6029
pune,तूर,godavari,7915
pune,ज्वारी,Foxtail millet,3469
pune,बाजरी,MLSH 2428,7092
pune,ज्वारी,Foxtail millet,2678
pune,बाजरी,MLSH-296 GOLD,5758
pune,गहू,HI-8759,2019
pune,ज्वारी,Foxtail millet,3328
pune,बाजरी,MLSH-296 GOLD,6776
pune,सोयाबीन,js335,5778
pune,ज्वारी,Foxtail millet,7760
pune,तूर,bdl 716,5327
pune,हरभरा,j11,4945
pune,सोयाबीन,maus 162,4056
pune,ज्वारी,Foxtail millet,5129
pune,गहू,शरबती,6081
pune,हरभरा,j11,3134
pune,ज्वारी,Foxtail millet,3643
pune,ज्वारी,Foxtail millet,2829
pune,गहू,HI-8759,5846
pune,ज्वारी,Foxtail millet,2955
pune,गहू,शरबती,6146
pune,बाजरी,MLSH 2428,7470
pune,हरभरा,vijay,6337
pune,ज्वारी,Foxtail millet,7520
pune,हरभरा,jaki 9218,5019
pune,बाजरी,MLSH 2428,7993
pune,ज्वारी,Foxtail millet,4588
pune,ज्वारी,Foxtail millet,7298
pune,ज्वारी,Foxtail millet,6210
pune,गहू,जीडब्ल्यू 12,5692
pune,तूर,godavari,3621
pune,ज्वारी,Foxtail millet,7540
pune,गहू,शरबती,2889
pune,हरभरा,j11,4134
pune,गहू,HI-8759,7112
pune,ज्वारी,Foxtail millet,6122
pune,हरभरा,digvijay,3899
pune,ज्वारी,Foxtail millet,5147
pune,बाजरी,MLSH 2428,7730
pune,तूर,bdl 711,4447
pune,ज्वारी,Foxtail millet,7942
pune,ज्वारी,Foxtail millet,4577
pune,हरभरा,digvijay,6872
pune,गहू,जीडब्ल्यू 12,3632
pune,सोयाबीन,maus 71,6334
pune,बाजरी,MLSH 2428,3634
pune,गहू,HI-8759,3901
pune,सोयाबीन,maus 162,6471
pune,ज्वारी,Foxtail millet,5350
pune,सोयाबीन,maus 162,5742
pune,ज्वारी,Foxtail millet,2764
pune,तूर,bdl 716,2506
pune,हरभरा,j11,6248
pune,तूर,godavari,5154
pune,तूर,bdl 716,5572
pune,गहू,जीडब्ल्यू 12,4085
pune,बाजरी,MLSH 2428,6398
pune,बाजरी,MLSH 2428,3517
pune,सोयाबीन,js335,6658
pune,हरभरा,vijay,4446
pune,ज्वारी,Foxtail millet,6121
pune,गहू,HI-8759,6099
pune,बाजरी,MLSH-296 GOLD,4062
pune,तूर,bdl 711,6510
pune,हरभरा,vijay,7894
pune,बाजरी,MLSH 2428,7877
pune,सोयाबीन,js335,2140
pune,ज्वारी,Foxtail millet,7305
pune,ज्वारी,Foxtail millet,7452
pune,गहू,जीडब्ल्यू 12,2676
pune,सोयाबीन,js335,6327
pune,हरभरा,jaki 9218,4354
pune,हरभरा,j11,7984
pune,गहू,शरबती,7803
pune,सोयाबीन,js335,5864
pune,हरभरा,jaki 9218,5657
pune,हरभरा,vijay,6834
pune,बाजरी,MLSH 2428,7022
pune,सोयाबीन,maus 71,5850
pune,सोयाबीन,js335,3336
pune,सोयाबीन,maus 162,3495
pune,सोयाबीन,maus 162,5621
pune,सोयाबीन,js335,2732
pune,गहू,शरबती,6052
pune,तूर,godavari,3242
pune,तूर,bdl 716,2043
pune,बाजरी,MLSH 2428,5431
pune,बाजरी,MLSH-296 GOLD,3807
pune,हरभरा,j11,4025
pune,तूर,bdl 716,3984
pune,बाजरी,MLSH 2428,7089
pune,सोयाबीन,maus 71,5773
pune,गहू,शरबती,7497
pune,बाजरी,MLSH-296 GOLD,4215
pune,गहू,HI-8759,5415
pune,सोयाबीन,maus 162,3842
pune,हरभरा,digvijay,6398
pune,सोयाबीन,maus 162,7799
pune,ज्वारी,Foxtail millet,5127
pune,बाजरी,MLSH-296 GOLD,6110
pune,गहू,HI-8759,7690
pune,तूर,bdl 711,3303
pune,तूर,bdl 711,4093
pune,तूर,bdl 711,2171
pune,सोयाबीन,maus 71,3084
pune,बाजरी,MLSH-296 GOLD,5992
pune,हरभरा,digvijay,5128
pune,हरभरा,digvijay,4818
pune,सोयाबीन,maus 71,6583
pune,सोयाबीन,js335,5080
pune,बाजरी,MLSH 2428,3825
pune,सोयाबीन,js335,6468
pune,सोयाबीन,js335,4378
pune,तूर,bdl 711,7354
pune,सोयाबीन,maus 162,3162
pune,ज्वारी,Foxtail millet,7467
pune,हरभरा,j11,3793
pune,हरभरा,j11,2460
pune,हरभरा,digvijay,6899
pune,गहू,HI-8759,6715
pune,ज्वारी,Foxtail millet,3563
pune,गहू,शरबती,2817
pune,गहू,HI-8759,5779
pune,सोयाबीन,maus 162,4689
pune,तूर,bdl 711,5520
pune,बाजरी,MLSH 2428,6027
pune,ज्वारी,Foxtail millet,3784
pune,तूर,bdl 711,3911
pune,ज्वारी,Foxtail millet,3563
pune,ज्वारी,Foxtail millet,2273
pune,तूर,bdl 711,3912
pune,ज्वारी,Foxtail millet,7702
pune,तूर,bdl 716,5694
pune,तूर,godavari,2659
pune,गहू,HI-8759,5598
pune,तूर,bdl 716,7424
pune,बाजरी,MLSH-296 GOLD,3696
pune,तूर,godavari,6515
pune,बाजरी,MLSH-296 GOLD,6077
pune,तूर,godavari,2124
pune,ज्वारी,Foxtail millet,3147
pune,हरभरा,vijay,6901
pune,हरभरा,j11,4314
pune,गहू,जीडब्ल्यू 12,7024
pune,गहू,शरबती,6132
pune,गहू,शरबती,2386
pune,गहू,शरबती,6723
pune,तूर,bdl 716,7339
pune,गहू,HI-8759,6914
pune,हरभरा,digvijay,5486
pune,सोयाबीन,js335,3743
pune,हरभरा,digvijay,2699
pune,गहू,शरबती,4336
pune,सोयाबीन,maus 162,4564
pune,गहू,HI-8759,4963
pune,बाजरी,MLSH 2428,4769
pune,बाजरी,MLSH 2428,7455
pune,बाजरी,MLSH-296 GOLD,7686
pune,सोयाबीन,js335,6502
pune,बाजरी,MLSH-296 GOLD,4499
pune,गहू,HI-8759,2245
pune,बाजरी,MLSH 2428,7950
pune,तूर,godavari,3386
pune,ज्वारी,Foxtail millet,4234
pune,सोयाबीन,maus 162,4258
pune,हरभरा,vijay,4532
pune,तूर,bdl 716,5980
pune,ज्वारी,Foxtail millet,7221
pune,गहू,जीडब्ल्यू 12,6845
pune,बाजरी,MLSH 2428,5232
pune,गहू,जीडब्ल्यू 12,5244
pune,गहू,शरबती,4593
pune,गहू,शरबती,2142
pune,ज्वारी,Foxtail millet,2247
pune,हरभरा,j11,6478
pune,तूर,bdl 716,2880
pune,हरभरा,vijay,2854
pune,सोयाबीन,js335,2005
pune,बाजरी,MLSH-296 GOLD,4689
pune,तूर,bdl 711,3454
pune,ज्वारी,Foxtail millet,4229
pune,गहू,जीडब्ल्यू 12,2281
pune,हरभरा,digvijay,5729
pune,सोयाबीन,js335,2871
pune,सोयाबीन,maus 162,5276
pune,हरभरा,vijay,3941
pune,हरभरा,digvijay,3627
pune,गहू,HI-8759,2734
pune,हरभरा,digvijay,4943
pune,ज्वारी,Foxtail millet,2161
pune,तूर,godavari,7284
pune,तूर,bdl 711,6971
pune,बाजरी,MLSH 2428,3220
pune,तूर,bdl 716,5051
pune,सोयाबीन,maus 71,5969
pune,ज्वारी,Foxtail millet,4163
pune,ज्वारी,Foxtail millet,7745
pune,गहू,HI-8759,4757
pune,तूर,godavari,4021
pune,हरभरा,digvijay,5534
pune,तूर,bdl 716,3320
pune,गहू,जीडब्ल्यू 12,5912
pune,ज्वारी,Foxtail millet,3238
pune,बाजरी,MLSH 2428,3995
pune,हरभरा,jaki 9218,3932
pune,तूर,godavari,3779
pune,बाजरी,MLSH 2428,7342
pune,हरभरा,digvijay,5949
pune,सोयाबीन,maus 162,6062
pune,तूर,bdl 716,5690
pune,सोयाबीन,maus 71,3526
pune,तूर,godavari,7287
pune,बाजरी,MLSH 2428,2435
pune,तूर,bdl 716,3874
pune,बाजरी,MLSH 2428,6523
pune,ज्वारी,Foxtail millet,4081
pune,गहू,HI-8759,5390
pune,ज्वारी,Foxtail millet,4083
pune,गहू,शरबती,2658
pune,बाजरी,MLSH 2428,5709
pune,गहू,शरबती,6206
pune,ज्वारी,Foxtail millet,3332
pune,बाजरी,MLSH-296 GOLD,3683
pune,तूर,godavari,3912
pune,ज्वारी,Foxtail millet,6444
pune,बाजरी,MLSH 2428,6358
pune,ज्वारी,Foxtail millet,6666
pune,सोयाबीन,js335,4411
pune,बाजरी,MLSH 2428,6912
pune,गहू,शरबती,3123
pune,सोयाबीन,maus 71,5661
pune,तूर,bdl 711,7299
pune,तूर,bdl 711,5581
pune,ज्वारी,Foxtail millet,5411
pune,ज्वारी,Foxtail millet,4548
pune,गहू,HI-8759,4651
pune,हरभरा,jaki 9218,2565
pune,सोयाबीन,js335,4933
pune,ज्वारी,Foxtail millet,3970
pune,बाजरी,MLSH-296 GOLD,3667
pune,बाजरी,MLSH-296 GOLD,2498
pune,गहू,HI-8759,2496
pune,तूर,bdl 716,2294
pune,गहू,जीडब्ल्यू 12,4090
pune,ज्वारी,Foxtail millet,7916
pune,सोयाबीन,maus 71,5227
pune,तूर,godavari,4886
pune,ज्वारी,Foxtail millet,6490
pune,सोयाबीन,maus 162,6108
pune,हरभरा,j11,6049
pune,बाजरी,MLSH-296 GOLD,3685
pune,बाजरी,MLSH 2428,7565
pune,ज्वारी,Foxtail millet,2594
pune,सोयाबीन,maus 162,6731
pune,गहू,HI-8759,6336
pune,तूर,bdl 711,4548
pune,हरभरा,jaki 9218,2592
pune,हरभरा,j11,2459
pune,सोयाबीन,js335,3366
pune,तूर,bdl 716,4001
pune,बाजरी,MLSH-296 GOLD,5558
pune,बाजरी,MLSH-296 GOLD,2363
pune,हरभरा,j11,6442
pune,ज्वारी,Foxtail millet,2078
pune,हरभरा,j11,7047
pune,गहू,जीडब्ल्यू 12,3885
pune,हरभरा,j11,3490
pune,सोयाबीन,maus 71,3792
pune,बाजरी,MLSH 2428,4347
pune,गहू,शरबती,6919
pune,ज्वारी,Foxtail millet,7004
pune,हरभरा,vijay,2176
pune,ज्वारी,Foxtail millet,5093
pune,ज्वारी,Foxtail millet,5921
pune,गहू,जीडब्ल्यू 12,3011
pune,ज्वारी,Foxtail millet,4890
pune,बाजरी,MLSH 2428,3117
pune,हरभरा,j11,6894
pune,हरभरा,jaki 9218,6300
pune,तूर,bdl 711,4052
pune,तूर,bdl 716,4888
pune,ज्वारी,Foxtail millet,2047
pune,गहू,जीडब्ल्यू 12,3264
pune,बाजरी,MLSH-296 GOLD,2767
pune,ज्वारी,Foxtail millet,2417
pune,बाजरी,MLSH 2428,6871
pune,बाजरी,MLSH 2428,2849
pune,ज्वारी,Foxtail millet,2986
pune,तूर,bdl 711,5562
pune,सोयाबीन,maus 162,2087
pune,हरभरा,vijay,2891
pune,सोयाबीन,maus 71,7429
pune,तूर,bdl 711,4803
pune,सोयाबीन,js335,5607
pune,ज्वारी,Foxtail millet,2351
pune,गहू,जीडब्ल्यू 12,3990
pune,हरभरा,vijay,4201
pune,सोयाबीन,maus 162,3493
pune,हरभरा,vijay,3025
pune,सोयाबीन,maus 162,5913
pune,ज्वारी,Foxtail millet,2261
pune,ज्वारी,Foxtail millet,4206
pune,तूर,bdl 711,5479
pune,सोयाबीन,maus 162,5023
pune,ज्वारी,Foxtail millet,6526
pune,सोयाबीन,maus 162,4601
pune,बाजरी,MLSH-296 GOLD,3091
pune,बाजरी,MLSH-296 GOLD,4891
pune,तूर,bdl 711,6963
pune,सोयाबीन,maus 162,5009
pune,बाजरी,MLSH-296 GOLD,2179
pune,तूर,bdl 711,4345
pune,गहू,HI-8759,5522
pune,तूर,godavari,3025
pune,ज्वारी,Foxtail millet,2020
pune,सोयाबीन,js335,4641
pune,ज्वारी,Foxtail millet,2994
pune,तूर,bdl 716,6091
pune,हरभरा,digvijay,6080
pune,हरभरा,vijay,7937
pune,ज्वारी,Foxtail millet,4167
pune,गहू,HI-8759,6043
pune,तूर,bdl 716,6682
pune,सोयाबीन,js335,6061
pune,बाजरी,MLSH-296 GOLD,7950
pune,हरभरा,j11,6473
pune,तूर,bdl 711,6258
pune,बाजरी,MLSH 2428,6203
pune,बाजरी,MLSH 2428,2705
pune,सोयाबीन,js335,5859
pune,गहू,शरबती,7094
pune,गहू,HI-8759,4423
pune,ज्वारी,Foxtail millet,4316
pune,तूर,bdl 716,3085
pune,तूर,bdl 716,7644
pune,ज्वारी,Foxtail millet,2126
pune,गहू,शरबती,7446
pune,तूर,bdl 711,2394
pune,बाजरी,MLSH 2428,3016
pune,हरभरा,digvijay,7168
pune,गहू,HI-8759,3629
pune,तूर,bdl 711,5395
pune,ज्वारी,Foxtail millet,2033
pune,तूर,bdl 711,6841
pune,गहू,HI-8759,6135
pune,बाजरी,MLSH-296 GOLD,2894
pune,हरभरा,vijay,6255
pune,बाजरी,MLSH-296 GOLD,6906
pune,सोयाबीन,maus 71,2900
pune,तूर,bdl 711,5726
pune,हरभरा,digvijay,3320
pune,बाजरी,MLSH-296 GOLD,2753
pune,गहू,HI-8759,7334
pune,ज्वारी,Foxtail millet,5365
pune,गहू,शरबती,3462
pune,तूर,godavari,5877
pune,ज्वारी,Foxtail millet,3761
pune,तूर,bdl 716,4054
pune,सोयाबीन,js335,7245
pune,गहू,जीडब्ल्यू 12,7259
pune,ज्वारी,Foxtail millet,7644
pune,सोयाबीन,js335,3285
pune,हरभरा,j11,2607
pune,हरभरा,jaki 9218,6567
pune,सोयाबीन,js335,2832
pune,गहू,HI-8759,5557
pune,बाजरी,MLSH 2428,6741
pune,हरभरा,digvijay,5330
pune,गहू,शरबती,2597
pune,तूर,bdl 716,4167
pune,गहू,जीडब्ल्यू 12,4459
pune,बाजरी,MLSH-296 GOLD,2664
pune,ज्वारी,Foxtail millet,3498
pune,हरभरा,jaki 9218,5306
pune,गहू,HI-8759,4605
pune,ज्वारी,Foxtail millet,6606
pune,हरभरा,jaki 9218,7129
pune,ज्वारी,Foxtail millet,2477
pune,सोयाबीन,js335,4230
pune,ज्वारी,Foxtail millet,7139
pune,सोयाबीन,js335,2292
pune,गहू,HI-8759,3597
